Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
AEFMVJVA,thesis,2016,"Tong, Fan","The Good, the Bad, and the Ugly: Economic and Environmental Implications of Using Natural Gas to Power On-Road Vehicles in the United States",,,,,https://kilthub.cmu.edu/articles/thesis/The_Good_the_Bad_and_the_Ugly_Economic_and_Environmental_Implications_of_Using_Natural_Gas_to_Power_On-Road_Vehicles_in_the_United_States/6723605/1,"Currently, in the United States, on-road vehicles are primarily powered by petroleum fuels (gasoline and diesel). These vehicles have caused serious climate change effects from emissions of greenhouse gas (GHG) and health and environmental impacts from criteria air pollutant (CAP). The recent success of shale gas development has brought industry interest in using natural gas to power on-road vehicles. In addition to low costs and wide availability of this national fuel source, natural gas is a common feedstock to produce alternative fuels. The question arises of whether using natural gas for transportation could help or hinder the environment. In this dissertation, I study the economic and environmental effects of a wide range of natural gas fuel pathways for a selection of light duty (LDV) and medium and heavy duty (MHDV) vehicle types. I choose to focus on two environmental metrics: GHGs and CAPs emitted over the life cycle of each potential pathway for natural gas use. First in Chapters 2 and 3, I use life-cycle analysis to understand the emissions of GHGs from different natural gas pathway for LDVs and MHDVs. Then in Chapter 4 I focus on the CAP emissions from these vehicles. Overall, I find that none of the natural gas pathways eliminate life cycle air emissions. In fact, only a few pathways reduce life cycle GHG emissions and/or life cycle air pollution damages compared to baseline petroleum fuels (gasoline for light-duty vehicles (LDVs) and diesel for heavy-duty vehicles (HDVs)). For the cases of light duty vehicles (LDVs) and transit buses, battery electric vehicles (BEVs) powered by natural gas-based electricity provide significant reduction in life cycle GHG emissions and life cycle air pollution damages (for almost all counties) compared to the baseline petroleum fuels. However, the actual electricity that charges BEVs may not be natural gas-based electricity in most parts of the U.S. When powered by U.S. grid electricity (using average emission factors for 2010 and 2014), BEVs reduce life cycle GHG emissions to a lesser extent but increase life cycle air pollution damages significantly. Compressed natural gas (CNG), while reducing GHG emissions and CAP emissions (except CO) at tailpipe, are more likely to increase life cycle GHG emissions and increase life cycle air pollution damages in the majority of U.S. counties. For heavy-duty trucks, CNG sparking-ignition (SI) trucks and liquefied natural gas (LNG) high-pressure direct ignition (HPDI) trucks have mixed environmental impacts. While they are unlikely to reduce life cycle GHG emissions compared to diesel, they reduce life cycle air pollution damages in 76-99% of U.S. counties for local-haul tractor-trailers and in 32-71% of U.S. counties for long-haul tractor-trailers. In Chapters 5 and 6, I examine the economic impacts of natural gas fuel pathways for two vehicle types, tractor-trailers and transit buses. I study the economic feasibility of a national natural gas refueling infrastructure for long-haul trucks in U.S., which is a prerequisite for natural gas tractor-trailers. I find that a transition to natural gas fuels in long-haul trucks is more expensive when the shares of natural gas trucks are below 5% because of low refueling demands and over-capacity of the refueling infrastructure to ensure network coverage. At higher shares of natural gas trucks, both the total refueling capacity and the net economic benefits of the national refueling infrastructure increase almost linearly as adoption increases. Finally, in Chapter 6, I provide an economic-technology assessment for transit buses by considering both life cycle ownership costs and life cycle social costs due to GHG emissions and CAP emissions. Transit buses are early adopters of alternative fuel technologies because of funding supports and operation characteristics (such as high fuel consumption and private refueling infrastructure). I find that the availability of external funding is crucial for transit agencies to adopt any alternative fuel option. Without external funding, only rapid-charging battery electric buses (BEBs) have lower ownership & social costs than conventional diesel buses. When external funding is available to reduce bus purchase costs by 80%, BEBs become much more cost-effective. In this case, life cycle ownership and social costs of BEBs are 37-43% lower than conventional diesel buses. Including life cycle social costs does not change the ranking of alternative fuel options. The findings in this dissertation suggest different strategies of using natural gas for different vehicle markets. Natural gas is best used in electric power generation than to produce gaseous or liquid fuels for powering on-road LDVs. The use of CNG and LNG for heavy-duty trucks may continue as there are less alternative fuel options but issues such as methane leakage should be addressed to avoid important climate change effect. Finally, natural gas-based transportation fuels can at best partially mitigate climate change or air pollution damages, so other mitigation strategies in the transportation sector are ultimately needed to achieve sustainable transportation.",12/1/16,5/20/25 15:34,5/20/25 15:34,5/20/25 15:30,,,,,,,"The Good, the Bad, and the Ugly",,,,,Carnegie Mellon University,,en,,thesis,,,kilthub.cmu.edu,,DOI: 10.1184/R1/6723605.v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AFFHIILR,thesis,2012,"Thomas, Brinda Ann",Energy Efficiency and Rebound Effects in the United States: Implications for Renewables Investment and Emissions Abatement,,,,,https://kilthub.cmu.edu/articles/thesis/Energy_Efficiency_and_Rebound_Effects_in_the_United_States_Implications_for_Renewables_Investment_and_Emissions_Abatement/6716243/1,"By lowering the energy required to provide a service, energy efficiency can help society consume less energy, emit less CO2e and other air pollutants, while maintaining quality of life. In this work, I examine a key benefit of energy efficiency, reducing renewables investment costs, and a side-effect, expanding energy service demand, also known as the rebound effect. First, I assess the economics of an energy efficiency intervention, using dedicated direct current (DC) circuits to operate lighting in commercial buildings. I find that using DC circuits in grid-connected PV-powered LED lighting systems can lower the total unsubsidized capital costs by 4% to 21% and levelized annual costs by 2% to 21% compared to AC grid-connected PV LEDs providing the same level of lighting service. I also explore the barriers and limitations of DC circuits in commercial buildings. Second, I examine the rebound effect from residential energy efficiency investments through a model in which households re-spend energy expenditure savings from an efficiency investment on more of the energy service (direct rebound) or on other goods and services (indirect rebound). Using U.S. household expenditure data and environmentally-extended input-output analysis, I find indirect rebound effects in CO2e emissions of 5-15%, depending on the fuel saved and assuming a 10% direct rebound. Third, I examine the variation in the indirect rebound from electricity efficiency across U.S. states due to differences in electric grid mix, fuel prices, household income, and spending patterns. I find that the CO2e direct and indirect rebound effects vary across states between 6-40%, when including full supply chain emissions, and between 4-30% when including only combustion and electricity emissions. I conclude that energy efficiency can provide significant benefits for reducing energy expenditures, CO2e and other pollutants, and renewables investment costs under policy mandates, even after accounting for the rebound effect. While the CO2e rebound effect is currently modest in the U.S., there are some exceptions that may be relevant for energy efficiency policy assessments. In addition, more data collection and measurements of direct rebound effects are needed, especially in developing countries where the demand for energy services has not fully been met.",12/1/12,5/20/25 15:34,5/20/25 15:34,5/20/25 15:26,,,,,,,Energy Efficiency and Rebound Effects in the United States,,,,,Carnegie Mellon University,,en,,thesis,,,kilthub.cmu.edu,,DOI: 10.1184/R1/6716243.v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AG74LNME,thesis,2025,"Jung, Minseok; Massachusetts Institute of Technology Institute for Data, Systems",Responsible Computational Text Generation: AI Content Classification and Policy Framework,,,,,,"Recent advances in generative AI, particularly in producing human-like text, have blurred the lines between human and AI authorship. Since these AI tools rely on stochastic generation rather than traditional scientific reasoning, concerns about misinformation and reliability have emerged, highlighting the need for AI detection tools and policy guidelines. In response, this study proposes a dual approach: (1) the application of adaptive thresholds to improve the use of AI text detectors and (2) an AI policy framework based on user patterns and opinions. To enhance detector performance, we present a threshold optimization algorithm that adapts to diverse subgroups, such as those based on text lengths and stylistic features, thereby reducing discrepancies in error rates. The commonly used method relies on a single universal threshold, which has led to inconsistent results across various text types because of different probability distributions. Our approach addresses these shortcomings by tailoring thresholds to the specific characteristics of each group. In parallel, the study examines the pressing need for comprehensive AI guidelines, given the rise of misinformation and academic integrity issues. While a few institutions have introduced comprehensive policies, many institutes lack approaches grounded in user patterns and opinions. To remedy this problem, we propose a policy framework based on a user study. The findings of this research will provide practical solutions for more effective AI text classification and a reliable framework for the necessity of AI writing policies.",2025,5/22/25 18:16,5/22/25 18:16,,,,,,,,Responsible Computational Text Generation,,,,,Massachusetts Institute of Technology,"Cambridge, Massachusetts",eng,,,,,mit.primo.exlibrisgroup.com,,Book Title: Responsible Computational Text Generation: AI Content Classification and Policy Framework,,,,,,,,,"Massachusetts Institute of Technology Institute for Data, Systems",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALECP4YN,thesis,2013,"Hernandez Inzunza, Sunner Daniela",The politics of gender and violence: A case study of a Mexican female senator and a law for victims of violence,,,,,https://www.proquest.com/docview/1370781827?pq-origsite=primo,"Violence against Mexican women is not a new subject. Disappearances and murdered women in the border town of Cd. Juarez and throughout the country are reported in the news headlines every day. Between 1999 and 2005 more than 6,000 women and girls were murdered, an average of 1,000 murdered women every year. The majority of the deaths result from violence within their household (Mexico, 2009). The rate of violence is not isolated to border towns. The Instituto Nacional de Estadísticas y Geografía (National Institute of Statistics and Geography/INEGI) reports that 67% of Mexican women aged 15 years of age and older have been victims of violence. At the same time, the political representation of Mexican women has increased over the years. The rate of Mexican women who hold national political positions is 35%, higher than most of its neighboring countries (Women, 2013). This thesis will focus on the representation of women at the federal level. Even though political representation numbers are significant compared to other nation states, Mexico ranks high in the Gender Inequality Index measured by the United Nations, signifying that Mexican women hold a poor position in their society. The relationship between the high incidence of violence against women and the number of elected female politicians is contradictory. This thesis will look at the effectiveness of Mexican female politicians in creating policies against violence and aims to answer these questions: 1) To what extent do women politicians follow party lines and to what extent do women politicians have autonomous agendas? 2) To what extent do women politicians get to participate in policy making and what role do quotas play in female participation? 3) Are Mexican female politicians writing and advocating effective legislation against violence? 4) What are some of the challenges and barriers in passing legislation against violence? I approach these questions using quantitative and qualitative methods through two case studies, data analysis, and narrative reports. I frame these questions around representation and critical mass theory. The first case study analyzes whether female PRI Senator Diva Gastelum represents her constituents through descriptive or substantives representation. The second case study analyzes the Ley General de Victimas (General Law for Victims/LGV), a piece of victim's assistance legislation and the role of female politicians. This inquiry will help the reader understand whether a relationship between Mexican female politicians and policies created against violence exists.",2013,5/22/25 18:26,5/22/25 18:26,5/22/25 18:26,,,,,,,The politics of gender and violence,,,,,ProQuest Dissertations & Theses,,eng,,,,,mit.primo.exlibrisgroup.com,,Book Title: The politics of gender and violence: A case study of a Mexican female senator and a law for victims of violence ISBN: 9781303103766 ISSN: 0898-9095 Issue: 6 Volume: 51,,,,,Females; Legislation; Mexico; Political science; Politicians; Representative government and representation; Victims; Violence; Women's studies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALFFD4GU,thesis,2021,"Rath, Michael",Future Pathways to U.S. Decarbonization Through Nuclear and Other Energy Systems,,,,,https://kilthub.cmu.edu/articles/thesis/Future_Pathways_to_U_S_Decarbonization_Through_Nuclear_and_Other_Energy_Systems/14666193/1,"This thesis examines the hurdles involved in converting the U.S. energy system to one that emits little or no carbon dioxide into the atmosphere. The first part of this thesis looks at nuclear energy in the U.S., while the second part examines the pursuit of decarbonization through decentralized micro-grids.The thesis begins by examining the possibility of a U.S. domestic market for factory-manufactured small modular nuclear reactors (SMRs) being developed through the use of hybrid water-energy systems. This work found that the use of the proposed hybrid system will not likely lead to the mass market needed to facilitate the mass manufacturing of SMRs. On the electricity side, these hybrid systems powered by SMRs are not cost competitive in the U.S. against similar low carbon technologies like natural gas equipped with carbon capture and sequestration (NGCCS). On the water side, I conclude that the need for water desalination over the next several decades in the U.S. will not be large enough to support the mass SMR market I was searching for. However, there might exist substantial markets in arid countries where natural gas prices exceed 12 $/mscf and where there is a strong desire to adopt nuclear power.Chapter 3 investigates the perceptions of nuclear power as supported by existing theories on differing nuclear perspectives. Our survey participants held significantly less favorable views about nuclear energy if they cited Chernobyl and Fukushima as noteworthy events that shaped their perception. I found that Chernobyl has the most negative impact on participants, even for those who were not alive for the event. There was also a significant increase in negative views of nuclear energy in participants who would have been between the ages of 20 to 30 years old during Chernobyl, but these results do not extend to other events like Fukushima. The survey results also suggested that participants who are both non-white and non-male held significantly less favorable views compared to white males.Chapter 4 examines the trade-offs between decentralization and decarbonization in microgrid planning. A trade-off curve is produced by using a previously developed mixed-integer program (DER-CAM) in a multiobjective programming framework. The results include a range of microgrid designs with different technology mixes or typologies. As the weight on greenhouse gas emissions increases the associated costs rise; at the design that minimizes emissions, the levelized cost of energy (LCOE) of the micro-grid rises to approximately 7x the current cost of electricity in southern California. Changes in natural gas (NG) prices do not change the micro-grid’s typology, but rather forces a quicker transition to low-carbon typologies. Every micro-grid developed in this chapter contained some amount of dispatchable distributed energy resource (DER), leading to an examination as to why a PV + storage only micro-grid would be unlikely. With the apparent need for micro-grids to contain some amount of distributable generation, a relatively small social cost of carbon of $50 per ton of CO2 ensures that every micro-grid would consist of primarily low-no emission DERs.",5/27/21,5/20/25 15:44,5/20/25 15:44,5/20/25 15:44,,,,,,,,,,,,Carnegie Mellon University,,en,,thesis,,,kilthub.cmu.edu,,DOI: 10.1184/R1/14666193.v1,,/Users/stacy/Zotero/storage/ULISDZQ5/Rath - 2021 - Future Pathways to U.S. Decarbonization Through Nuclear and Other Energy Systems.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APET7KML,thesis,2015,"Lenhart, Jennifer",Urban Climate Governance: The Role of Local Authorities,,,,,https://www.proquest.com/docview/2565113264?pq-origsite=primo,"Cities are growing at unprecedented rates, home to over half of global population for the first time in history. While there are economic, environmental and other benefits to urban living, there are also consequences, among which cities' major contribution to climate change. Cities release greenhouse gas (GHG) emissions, including from energy consumption in buildings and infrastructure, transportation and industrial processes. Cities are also vulnerable to climate change, including exacerbated urban heat island (UHI) effect and flooding of non-porous surfaces during storm surges. Equally, cities are acting on climate change, adopting strategies to mitigate their GHG emissions, while preparing to adapt to a changing climate.Within this field of urban climate governance this dissertation examines the role of local authorities, and their interactions with stakeholders, to govern climate change mitigation and adaptation in cities. To do so, it develops a conceptual framework based on the governing capacities that local authorities employ, the governing modes they apply to address climate change, and how local authorities influence and are influenced by vertical and horizontal actors within a multilevel governance system. The main research question this study seeks to address is: How do forerunning local authorities govern climate change in a city, and how can their effects be improved? This research question is broken into three sub-research questions:How do forerunning local authorities draw upon capacities, and which governing capacities do they apply, to address climate change in a city?What governing modes do forerunning local authorities apply to address climate change?How can best practices in urban climate change governance be further improved within a particular city and diffused to other cities? These research questions are addressed by conducting a review study of urban climate governance in Dutch local authorities, followed by three case studies in cities deemed forerunners in urban climate governance. The three case study cities are: Malmö, Sweden and Amsterdam and Rotterdam, the Netherlands. Each case study examines how local authorities interact with a specific stakeholder group to govern climate mitigation and adaptation related to a specific sector: city planning, energy in the build environment, urban agriculture and food.Methodologically, this dissertation employs a case study research design, using semistructured interviews, participant observation, and document analysis as its primary data collection methods. A specific question or hypothesis guides each study, including their respective methodology, data collection and analysis. This dissertation has six chapters: an introduction, four empirical studies and a conclusion.Chapter 2 conducts an overview of mitigation and adaptation strategies in the 25 largest local authorities in the Netherlands. Specifically it analyses the level of anchoring of climate strategies within policy, in local authorities' organisations and in their practical implementation. It also incorporates a multilevel governance lens to inspect the roles of national and European governing authorities and horizontal networks. This review assisted in the selection of two Dutch forerunners cities, used as case studies in chapters 4 and 5. The analysis reveals several trends: the decentralisation of climate strategies across municipal organisations; the externalisation of climate policies to non-municipal organisations; and the regionalisation of climate strategies, wherein local authorities collaborate with neighbouring municipalities. The Chapter concludes that in the absence of national support, local authorities partner with other stake- holders. Still, full anchoring of their climate strategies remains challenging without sufficient support from national/EU authorities, especially in smaller (less forerunning) local authorities.Chapter 3 investigates the inner functioning of a local authority organisation, focussing on city planning for climate governance in Malmö, Sweden. Specifically, it examines the role of learning and experimentation to address complex problems, such as climate change. The analysis reveals the importance of deliberate and structured methods to facilitate dialogue and collaboration, both across the departmental silos of a local authority, as well as with citizens and stakeholders, for the design and delivery of integrated climate strategies. In Malmö, this includes connecting climate strategies to the city's long-term vision and city planning to become a sustainable city. The Chapter concludes that by emphasising dialogue and collaboration, and by encouraging flexible methods to address complex problems, learning can become institutionalised, which in turn supports adaptive approaches to address climate change.Chapter 4 examines the interactions between a local authority with stakeholders in the build environment – such as architects, knowledge institutes, housing corporations and energy corporations – in the design of a new strategy to close resource-waste cycles. The study uses an urban symbiosis lens to analyse the Rotterdam Energy Approach and Planning (REAP). REAP combines urban planning and energy planning to capture waste energy sources, returning them for use in the city's energy grid. The study reveals the dominance of institutional actors in large-scale and technical climate strategies, while civil society engagement is largely absent. Secondly, private sector participation (e.g. energy companies, housing corporations) is limited in REAP's design phase, with only a limited number of local authority experts and representatives of knowledge institutes initially included. The Chapter concludes that earlier engagement of private sector stakeholders – those later tasked with project execution – already in the design phase is crucial for increasing their ownership and consequent successful project implementation.Chapter 5 explores the interactions between local authorities and civil society to address climate change. Specifically, it studies Amsterdam's food strategy and urban agricultural initiatives in relation to urban climate governance. While not often linked to local climate policy, urban agriculture has benefits for mitigation (e.g. local food reduces transport emissions) and adaptation (e.g. through preservation of green space). The case study examines how to combine top-down local authority support and bottom-up civil society engagement to integrate urban food strategies and urban agriculture to support climate strategies. The study reveals that while civil society engagement is imperative to address climate change, fragmentation might occur in the absence of central coordination, stagnating implementation of citizen-supported climate strategies. In conclusion the chapter suggests that a more explicit link between urban agriculture/ food strategies and climate strategies, as well as better coordination of civil society-local authority interactions, are vital to address climate change.Chapter 6 reflects on the dissertation's research questions and draws general conclusions vis-à-vis the governing capacities and governing modes local authorities utilise to facilitate urban climate governance. To engage climate strategies within forerunning cities, the case studies demonstrate a combination of central coordination and decentralised implementation – albeit to varying degrees of success in the different cases. They make use of structured dialogues to engage city departments and key stakeholders, and they allocate different resources to design and deliver climate strategies – the latter being imperative in a time of reduced financial and legal support from national authorities for urban climate governance by cities. In the face of uncertainty, both in terms of the complexity of climate change and the reduction of support, local authorities are moving increasingly towards the governing mode that is called 'governing by enabling'. Increasingly, local authorities are creating partnerships with different stakeholders to develop, implement, diffuse and improve their climate strategies. The contribution of this study to the urban climate governance literature lies in a better understanding of how local authorities in forerunning cities govern climate change. Their governing capacities and modes do engage strongly with different stakeholders, although in distinct ways in different cities and for different urban sectors.",2015,5/22/25 18:24,5/22/25 18:24,5/22/25 18:24,,,,,,,Urban Climate Governance,,,,,ProQuest Dissertations & Theses,,eng,,,,,mit.primo.exlibrisgroup.com,,Book Title: Urban Climate Governance : The Role of Local Authorities ISBN: 9798728205081,,,,,"Botany; Greenhouse effect, Atmospheric; Horticulture",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR4LB63K,thesis,2016,"Hagerman, Shelly C.",Economics of Behind-the-Meter Solar PV and Energy Storage,,,,,https://kilthub.cmu.edu/articles/thesis/Economics_of_Behind-the-Meter_Solar_PV_and_Energy_Storage/6716141/1,"In this thesis, I present three research papers that focus on the economics of behind-the-meter technologies for residential, commercial, and industrial customers. Each of these papers takes the perspective of the customer, where the value of the technology comes from reducing their electricity bill. In Chapter 2, I assess whether solar photovoltaics are economically viable without subsidies for residential customers across the United States. I calculate the break-even electricity prices and installation costs and find that, at a state level, solar PV is only currently economically attractive in Hawaii without the use of subsidies. In order for widespread adoption of solar PV, I illustrate how the availability of favorable financing terms, installation costs at or below $1.5/W, and the continuance of net energy metering policies are each critical. In Chapter 3, I create a case study to better understand solar PV economics for commercial and industrial customers, who collectively account for the majority of annual electricity sales in the United States. While residential customers are billed based on the total amount of energy they consume, commercial and industrial customers are also billed according to their greatest 15- minute energy use in a month with a demand charge. I analyze the net present value of a solar PV investment using both simulated and measured load and solar data for a variety of commercial customers in North and South Carolina. I identify key factors that influence economic viability and find that solar PV is not presently economically viable for these customers without subsidies, but will be once installation costs drop to below $1.25/W. In Chapter 4, I evaluate the economics of using energy storage to further reduce demand charges for each of the customers examined in Chapter 3. Using a “black-box” approach, I apply several generic energy storage technical attributes of a high-energy lithium-ion battery to assess the ideal performance and maximum economic benefit of energy storage. I find that batteries with lower capacities are most profitable for the commercial and industrial customers examined using an optimistic algorithm, but require further cost reductions using a pessimistic algorithm.",8/1/16,5/20/25 15:34,5/20/25 15:34,5/20/25 15:25,,,,,,,,,,,,Carnegie Mellon University,,en,,thesis,,,kilthub.cmu.edu,,DOI: 10.1184/R1/6716141.v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASY7DQJZ,thesis,2009,"Miller, Beverly Paige","Women and Science in Development: A Longitudinal Analysis of Gender, Networks, and Information Technology in Ghana, Kenya, and India",,,,,https://www.proquest.com/docview/2675223441?pq-origsite=primo,"This dissertation examines the gendered nature of the scientific career for researchers in universities and national research institutes in Ghana, Kenya, and Kerala India. Employing panel data, I analyze three issues related to the diffusion of ICTs in the scientific communities of less developed areas: 1) access; 2) interaction; 3) and involvement. More specifically, I examine the way in which human capital, family structure, travel experiences, contextual factors, and technological antecedents interact with gender to influence access to and use of personal computers, email, and the Web. From there, I incorporate technological behavioral changes to predict interaction within professional networks. In the last step, I incorporate professional network measures to examine the gendered nature of research outcomes in the form of scientific productivity.The results suggest that over time ICTs have rapidly diffused within the three locations. At the same time, women continue to report less long-term access to email and the web. Furthermore, men and women are distinctly different in terms of intensity and extent of email and web use with women emerging as less technologically oriented. In spite of the differences on these measures, men are not earlier adopters of the technologies than women. It does not appear, however, that there is a consistent relationship between greater email use and integration within professional networks. Gender, on the other hand, emerges as one of the most consistent predictors of network outcomes, particularly in terms of absolute network size, geographic and gender diversity, and the proportion of male contacts reported.Finally, men and women are equally productive in domestic venues, but women are less productive in foreign venues. Furthermore, network structure is not as strongly related to productivity as are changes in technological use behavior. Respondents using email for a wider variety of reasons over time produce more in foreign and domestic venues, but intensity of email use is actually negatively related to productivity, suggesting that it is not technology use in general that matters when predicting outcomes, but the type of technology use. Network structure on the other hand, is only a significant predictor of domestic productivity.",2009,5/22/25 18:22,5/22/25 18:22,5/22/25 18:21,,,,,,,Women and Science in Development,,,,,ProQuest Dissertations & Theses,,eng,,,,,mit.primo.exlibrisgroup.com,,"Book Title: Women and Science in Development: A Longitudinal Analysis of Gender, Networks, and Information Technology in Ghana, Kenya, and India ISBN: 9798802775530",,,,,Behavior; Communication; Developing countries; Digital divide; Economic development; Economics; Equality; Freedom of information; Globalization; Information technology; Internet access; Mass media; Occupations; Sex differences; Social change; Social networks; Sociology; System theory; Telecommunication; Women,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AWGWXQ9U,thesis,2016,"Frankenstein, William",Computational Models of Nuclear Proliferation,,,,,https://kilthub.cmu.edu/articles/thesis/Computational_Models_of_Nuclear_Proliferation/6715274/1,"This thesis utilizes social influence theory and computational tools to examine the disparate impact of positive and negative ties in nuclear weapons proliferation. The thesis is broadly in two sections: a simulation section, which focuses on government stakeholders, and a large-scale data analysis section, which focuses on the public and domestic actor stakeholders. In the simulation section, it demonstrates that the nonproliferation norm is an emergent behavior from political alliance and hostility networks, and that alliances play a role in current day nuclear proliferation. This model is robust and contains second-order effects of extended hostility and alliance relations. In the large-scale data analysis section, the thesis demonstrates the role that context plays in sentiment evaluation and highlights how Twitter collection can provide useful input to policy processes. It first highlights the results of an on-campus study where users demonstrated that context plays a role in sentiment assessment. Then, in an analysis of a Twitter dataset of over 7.5 million messages, it assesses the role of ‘noise’ and biases in online data collection. In a deep dive analyzing the Iranian nuclear agreement, we demonstrate that the middle east is not facing a nuclear arms race, and show that there is a structural hole in online discussion surrounding nuclear proliferation. By combining both approaches, policy analysts have a complete and generalizable set of computational tools to assess and analyze disparate stakeholder roles in nuclear proliferation.",5/1/16,5/20/25 15:34,5/20/25 15:34,5/20/25 15:25,,,,,,,,,,,,Carnegie Mellon University,,en,,thesis,,,kilthub.cmu.edu,,DOI: 10.1184/R1/6715274.v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AY95N3H3,thesis,2017,"Tee, Chin Yen",Market Design for the Future Electricity Grid: Modeling Tools and Investment Case Studies,,,,,https://kilthub.cmu.edu/articles/thesis/Market_Design_for_the_Future_Electricity_Grid_Modeling_Tools_and_Investment_Case_Studies/6720491/1,"The future electricity grid is likely to be increasingly complex and uncertain due to the introduction of new technologies in the grid, the increased use of control and communication infrastructure, and the uncertain political climate. In recent years, the transactive energy market framework has emerged as the key framework for future electricity market design in the electricity grid. However, most of the work done in this area has focused on developing retail level transactive energy markets. There seems to be an underlying assumption that wholesale electricity markets are ready to support any retail market design. In this dissertation, we focus on designing wholesale electricity markets that can better support transactive retail market. On the highest level, this dissertation contributes towards developing tools and models for future electricity market designs. A particular focus is placed on the relationship between wholesale markets and investment planning. Part I of this dissertation uses relatively simple models and case studies to evaluate key impediments to flexible transmission operation. In doing so, we identify several potential areas of concern in wholesale market designs: 1. There is a lack of consideration of demand flexibility both in the long-run and in the short-run 2. There is a disconnect between operational practices and investment planning 3. There is a need to rethink forward markets to better manage resource adequacy under long-term uncertainties 4. There is a need for more robust modeling tools for wholesale market design In Part II and Part III of this dissertation, we make use of mathematical decomposition and agent-based simulations to tackle these concerns. Part II of this dissertation uses Benders Decomposition and Lagrangian Decomposition to spatially and temporally decompose a power system and operation problem with active participation of flexible loads. In doing so, we are able to not only improve the computational efficiency of the problem, but also gain various insights on market structure and pricing. In particular, the decomposition suggests the need for a coordinated investment market and forward energy market to bridge the disconnect between operational practices and investment planning. Part III of this dissertation combines agent-based modeling with state-machine based modeling to test various spot, forward, and investment market designs, including the coordinated investment market and forward energy market proposed in Part II of this dissertation. In addition, we test a forward energy market design where 75% of load is required to be purchased in a 2-year-ahead forward market and various transmission cost recovery strategies. We demonstrate how the different market designs result in different investment decisions, winners, and losers. The market insights lead to further policy recommendations and open questions. Overall, this dissertation takes initial steps towards demonstrating how mathematical decomposition and agent-based simulations can be used as part of a larger market design toolbox to gain insights into different market designs and rules for the future electricity grid. In addition, this dissertation identifies market design ideas for further studies, particularly in the design of forward markets and investment cost recovery mechanisms.",4/1/17,5/20/25 15:34,5/20/25 15:57,5/20/25 15:22,,,,,,,Market Design for the Future Electricity Grid,,,,,Carnegie Mellon University,,en,,thesis,,,kilthub.cmu.edu,,DOI: 10.1184/R1/6720491.v1,,/Users/stacy/Zotero/storage/5HCJXTUE/Tee - 2017 - Market Design for the Future Electricity Grid Modeling Tools and Investment Case Studies.pdf,,,/new,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
